"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"single","single",9.16600012779236,"singl",1.23450469970703,"singl",0.165111303329468,"sin","sing","singl","single","single","single"
"sul","sul",9.22758650779724,"sul",1.24287033081055,"sul",0.166015863418579,"sul","sul","sul","sul","sul","sul"
"unidos","unir",9.30338931083679,"unid",1.25203442573547,"unid",0.166898965835571,"uni","unid","unido","unidos","unidos","unidos"
"edição","edição",9.36449980735779,"edic",1.26024961471558,"ediçã",0.167861223220825,"edi","ediç","ediçã","edição","edição","edição"
"estar","estar",9.42546248435974,"est",1.26872801780701,"estar",0.168862819671631,"est","esta","estar","estar","estar","estar"
"faz","fazer",9.50074291229248,"faz",1.27690052986145,"faz",0.169742822647095,"faz","faz","faz","faz","faz","faz"
"serviço","serviço",9.56183671951294,"servic",1.28547501564026,"servic",0.170698404312134,"ser","serv","servi","serviç","serviço","serviço"
"tudo","tudo",9.62365174293518,"tud",1.29475092887878,"tud",0.171595573425293,"tud","tudo","tudo","tudo","tudo","tudo"
"valor","valor",9.69973683357239,"val",1.30177307128906,"valor",0.172516822814941,"val","valo","valor","valor","valor","valor"
"desde","desder",9.76251435279846,"desd",1.31023573875427,"desd",0.17351770401001,"des","desd","desde","desde","desde","desde"
"acabou","acabar",9.82418656349182,"acab",1.33225226402283,"acab",0.174885988235474,"aca","acab","acabo","acabou","acabou","acabou"
"bastante","bastar",9.88505244255066,"bast",1.33991670608521,"bastant",0.176244258880615,"bas","bast","basta","bastan","bastant","bastante"
"conjunto","conjuntar",9.96209979057312,"conjunt",1.34812474250793,"conjunt",0.177631378173828,"con","conj","conju","conjun","conjunt","conjunto"
"construção","construção",10.0234551429749,"construc",1.35711598396301,"construçã",0.178993940353394,"con","cons","const","constr","constru","construç"
"estilo","estilar",10.0849244594574,"estil",1.36544799804688,"estil",0.180310249328613,"est","esti","estil","estilo","estilo","estilo"
"luta","luto",10.1624448299408,"lut",1.3741569519043,"lut",0.181647777557373,"lut","luta","luta","luta","luta","luta"
"maneira","maneirar",10.2236397266388,"man",1.38186120986938,"maneir",0.182981252670288,"man","mane","manei","maneir","maneira","maneira"
"personagem","personagem",10.284882068634,"person",1.38891816139221,"personag",0.184340953826904,"per","pers","perso","person","persona","personag"
"áreas","área",10.3624823093414,"are",1.39849901199341,"áre",0.185676336288452,"áre","área","áreas","áreas","áreas","áreas"
"enquanto","enquanto",10.4234850406647,"enquant",1.40697002410889,"enquant",0.187086582183838,"enq","enqu","enqua","enquan","enquant","enquanto"
"chamada","chamar",10.4858667850494,"cham",1.41454648971558,"cham",0.188445091247559,"cha","cham","chama","chamad","chamada","chamada"
"conhecida","conhecer",10.5478494167328,"conhec",1.42256045341492,"conhec",0.189806222915649,"con","conh","conhe","conhec","conheci","conhecid"
"diz","dizer",10.624507188797,"diz",1.43050003051758,"diz",0.191167593002319,"diz","diz","diz","diz","diz","diz"
"movimento","mover",10.6867003440857,"mov",1.43756675720215,"moviment",0.192511320114136,"mov","movi","movim","movime","movimen","moviment"
"sociedade","sociedade",10.7486400604248,"sociedad",1.44597315788269,"sociedad",0.193852663040161,"soc","soci","socie","socied","socieda","sociedad"
"terra","terrar",10.8254709243774,"terr",1.45512509346008,"terr",0.19517707824707,"ter","terr","terra","terra","terra","terra"
"segundo","segundar",10.9199259281158,"segund",1.46359181404114,"segund",0.197593450546265,"seg","segu","segun","segund","segundo","segundo"
"capital","capital",10.9817810058594,"capit",1.47081327438354,"capital",0.198957204818726,"cap","capi","capit","capita","capital","capital"
"cargo","cargar",11.0590424537659,"carg",1.4792149066925,"carg",0.200292110443115,"car","carg","cargo","cargo","cargo","cargo"
"centro","centrar",11.1213850975037,"centr",1.48784160614014,"centr",0.201621294021606,"cen","cent","centr","centro","centro","centro"
"diversos","diverso",11.186851978302,"divers",1.49723529815674,"divers",0.203245639801025,"div","dive","diver","divers","diverso","diversos"
"igreja","igreja",11.2628865242004,"igrej",1.50608015060425,"igrej",0.220703840255737,"igr","igre","igrej","igreja","igreja","igreja"
"média","médio",11.3249404430389,"med",1.51459836959839,"méd",0.222155809402466,"méd","médi","média","média","média","média"
"noite","noite",11.3867216110229,"noit",1.52308344841003,"noit",0.223294258117676,"noi","noit","noite","noite","noite","noite"
"organização","organização",11.4632732868195,"organiz",1.53012633323669,"organiz",0.22484278678894,"org","orga","organ","organi","organiz","organiza"
"pessoa","pessoa",11.5252149105072,"pesso",1.53918528556824,"pesso",0.226335048675537,"pes","pess","pesso","pessoa","pessoa","pessoa"
"rei","i",11.588050365448,"rei",1.54852414131165,"rei",0.227736949920654,"rei","rei","rei","rei","rei","rei"
"tão","tão",11.6502060890198,"tao",1.5573832988739,"tã",0.22914981842041,"tão","tão","tão","tão","tão","tão"
"causa","causar",11.7266418933868,"caus",1.56637287139893,"caus",0.230578422546387,"cau","caus","causa","causa","causa","causa"
"chegou","chegar",11.7889633178711,"cheg",1.57433128356934,"cheg",0.231932640075684,"che","cheg","chego","chegou","chegou","chegou"
"começa","começar",11.8517141342163,"comec",1.58319687843323,"comec",0.233288288116455,"com","come","começ","começa","começa","começa"
"criar","criar",11.9280841350555,"cri",1.5912070274353,"cri",0.234678745269775,"cri","cria","criar","criar","criar","criar"
"deixou","deixar",11.9904386997223,"deix",1.59885835647583,"deix",0.236055374145508,"dei","deix","deixo","deixou","deixou","deixou"
"desta","deste",12.0530390739441,"dest",1.60792064666748,"dest",0.237453460693359,"des","dest","desta","desta","desta","desta"
"fase","fase",12.1289732456207,"fas",1.61634469032288,"fas",0.238824605941772,"fas","fase","fase","fase","fase","fase"
"ilha","ilhar",12.1913692951202,"ilh",1.62563467025757,"ilha",0.240213871002197,"ilh","ilha","ilha","ilha","ilha","ilha"
"origem","origem",12.2538235187531,"orig",1.63377094268799,"orig",0.241634368896484,"ori","orig","orige","origem","origem","origem"
"principalmente","principal",12.3157138824463,"princip",1.64103841781616,"principal",0.243140459060669,"pri","prin","princ","princi","princip","principa"
"tal","tal",12.3917591571808,"tal",1.64923787117004,"tal",0.244493961334229,"tal","tal","tal","tal","tal","tal"
"vai","vá",12.4557054042816,"vai",1.6574501991272,"vai",0.245856046676636,"vai","vai","vai","vai","vai","vai"
"ajuda","ajudar",12.519345998764,"ajud",1.66618323326111,"ajud",0.247252941131592,"aju","ajud","ajuda","ajuda","ajuda","ajuda"
"atividades","ativos",12.5977022647858,"ativ",1.67777109146118,"ativ",0.248661518096924,"ati","ativ","ativi","ativid","ativida","atividad"
"canções","canção",12.6618208885193,"canca",1.71714496612549,"cançõ",0.250064611434937,"can","canç","cançõ","cançõe","canções","canções"
"escreveu","escrever",12.7272577285767,"escrev",1.72753500938416,"escrev",0.251432657241821,"esc","escr","escre","escrev","escreve","escreveu"
"homens","homem",12.8109302520752,"hom",1.7371072769165,"homens",0.252814292907715,"hom","home","homen","homens","homens","homens"
"simples","simples",12.8761036396027,"simpl",1.75271224975586,"simpl",0.254198312759399,"sim","simp","simpl","simple","simples","simples"
"anterior","anterior",12.9414131641388,"anteri",1.76388025283813,"anterior",0.25558614730835,"ant","ante","anter","anteri","anterio","anterior"
"comunidade","comum",13.0057637691498,"comunidad",1.77277159690857,"comun",0.256922245025635,"com","comu","comun","comuni","comunid","comunida"
"crianças","crianço",13.0845038890839,"crianc",1.78265523910522,"crianc",0.258309125900269,"cri","cria","crian","crianç","criança","crianças"
"força","forçar",13.1494996547699,"forc",1.79229545593262,"forc",0.259697914123535,"for","forç","força","força","força","força"
"irmão","irmão",13.2190115451813,"irm",1.80251574516296,"irmã",0.261052846908569,"irm","irmã","irmão","irmão","irmão","irmão"
"lançou","lançar",13.2980840206146,"lanc",1.81084179878235,"lanc",0.262431144714355,"lan","lanç","lanço","lançou","lançou","lançou"
"lista","lismo",13.3610091209412,"list",1.81991291046143,"list",0.263765811920166,"lis","list","lista","lista","lista","lista"
"melhores","melhor",13.4243767261505,"melhor",1.8287992477417,"melhor",0.264851331710815,"mel","melh","melho","melhor","melhore","melhores"
"países","países",13.5011105537415,"pais",1.83868908882141,"país",0.266169786453247,"paí","país","paíse","países","países","países"
"problemas","problema",13.5638456344604,"problem",1.84870576858521,"problem",0.267486572265625,"pro","prob","probl","proble","problem","problema"
"sede","ser",13.6261963844299,"sed",1.85786294937134,"sed",0.268834352493286,"sed","sede","sede","sede","sede","sede"
"trabalhos","trabalhos",13.7052149772644,"trabalh",1.86726665496826,"trabalh",0.270214080810547,"tra","trab","traba","trabal","trabalh","trabalho"
"vídeo","vídeo",13.7727756500244,"vide",1.87598609924316,"víd",0.271591901779175,"víd","víde","vídeo","vídeo","vídeo","vídeo"
"universidade","universo",13.836464881897,"univers",1.88294839859009,"univers",0.272647619247437,"uni","univ","unive","univer","univers","universi"
"apoio","apoiar",13.8999457359314,"apoi",1.89153933525085,"apoi",0.273664712905884,"apo","apoi","apoio","apoio","apoio","apoio"
"cabeça","cabeçar",13.9793119430542,"cabec",1.90094542503357,"cabec",0.275020837783813,"cab","cabe","cabeç","cabeça","cabeça","cabeça"
"considerado","considerar",14.0433185100555,"consider",1.90819835662842,"consider",0.276386976242065,"con","cons","consi","consid","conside","consider"
"data","datar",14.1072733402252,"dat",1.91795301437378,"dat",0.277703046798706,"dat","data","data","data","data","data"
"empresas","empresar",14.1859369277954,"empr",1.92684245109558,"empres",0.278955221176147,"emp","empr","empre","empres","empresa","empresas"
"frente","frente",14.2503468990326,"frent",1.93598508834839,"frent",0.280183792114258,"fre","fren","frent","frente","frente","frente"
"futebol","futebol",14.3136570453644,"futebol",1.94530248641968,"futebol",0.281359910964966,"fut","fute","futeb","futebo","futebol","futebol"
"poderia","poder",14.3902666568756,"pod",1.95442676544189,"pod",0.282232522964478,"pod","pode","poder","poderi","poderia","poderia"
"própria","próprio",14.4537627696991,"propr",1.96403074264526,"própr",0.283094167709351,"pró","próp","própr","própri","própria","própria"
"único","único",14.5482981204987,"unic",1.97559118270874,"únic",0.284818410873413,"úni","únic","único","único","único","único"
